customer_id,credit_score,monthly_income,loan_amount,monthly_emi,outstanding_amount,overdue_amount,emi_delay_count,previous_payment_delays,complaint_count,negative_sentiment_count,transaction_count,transaction_anomaly_count,employment_type,default_next_90_days
C0001,719,45746,539000,15600,148100,18600,1,4,2,0,49,0,Salaried,0
C0002,598,57361,373000,9500,192000,0,0,0,0,0,47,0,Salaried,0
C0003,631,78725,328000,9900,164700,23200,2,2,2,1,48,3,Business Owner,1
C0004,599,22211,139000,4500,60500,10300,2,2,0,0,63,2,Self-Employed,1
C0005,612,41998,561000,16500,232700,19200,1,3,1,1,105,0,Self-Employed,1
C0006,566,82557,752000,25300,262800,74900,3,4,0,0,46,2,Self-Employed,1
C0007,623,41613,239000,6300,192300,0,0,0,0,0,37,0,Salaried,0
C0008,697,20000,229000,5800,212400,0,0,0,0,0,46,0,Salaried,0
C0009,664,56998,270000,7400,253400,16600,2,3,2,1,36,0,Freelance,1
C0010,816,75871,243000,6700,80500,0,0,0,1,1,30,1,Salaried,0
C0011,745,26491,339000,9600,194500,9600,1,4,5,0,49,0,Salaried,1
C0012,693,26677,302000,9000,99500,0,0,0,0,0,62,0,Salaried,0
C0013,660,33628,208000,4900,193100,0,0,1,0,0,94,0,Self-Employed,0
C0014,602,79904,263000,7800,76700,0,0,1,1,0,42,1,Self-Employed,0
C0015,643,72296,551000,18100,222300,39300,2,5,1,1,27,0,Salaried,1
C0016,704,55748,778000,21500,428800,0,0,0,1,1,31,0,Self-Employed,1
C0017,850,20000,129000,3700,22500,11700,3,4,2,0,45,1,Freelance,1
C0018,517,53810,675000,16200,338300,15300,1,5,1,1,83,0,Self-Employed,1
C0019,781,34412,109000,2400,20400,10100,4,6,1,1,72,0,Freelance,1
C0020,684,158577,2106000,62900,590400,135300,2,2,3,1,42,3,Business Owner,1
C0021,702,35905,138000,3400,114000,11300,3,4,4,0,58,3,Salaried,1
C0022,782,36468,259000,8800,216700,0,0,0,1,1,35,1,Self-Employed,0
C0023,658,36078,520000,17800,316600,0,0,0,0,0,65,0,Freelance,0
C0024,679,31299,116000,3300,58400,0,0,0,0,0,56,0,Business Owner,0
C0025,645,54280,698000,21400,150100,122400,5,6,4,2,39,1,Business Owner,1
C0026,781,72072,721000,24800,324400,89600,4,5,1,1,53,1,Self-Employed,1
C0027,645,124241,1308000,37600,1139200,36000,1,5,1,1,51,0,Self-Employed,1
C0028,608,62690,873000,28200,794300,0,0,0,0,0,66,2,Business Owner,1
C0029,542,96465,1412000,46100,1158800,53400,1,2,7,1,47,0,Salaried,1
C0030,557,92859,405000,12200,229300,0,0,0,1,0,40,0,Salaried,1
C0031,731,97179,1113000,25800,288400,30200,1,3,2,1,14,0,Freelance,0
C0032,514,46884,497000,11700,104700,11000,1,1,1,1,27,0,Salaried,1
C0033,637,32976,169000,3600,41700,0,0,0,0,0,43,0,Business Owner,0
C0034,748,35947,431000,9800,136800,0,0,0,0,0,74,0,Business Owner,0
C0035,726,57275,524000,14700,123500,0,0,0,0,0,41,0,Business Owner,0
C0036,618,41134,563000,16300,390300,0,0,0,0,0,72,0,Salaried,0
C0037,609,24553,264000,7500,114800,0,0,0,0,0,36,0,Freelance,0
C0038,613,37324,514000,10900,292800,55600,5,5,4,3,61,0,Salaried,1
C0039,702,20000,118000,2600,75300,5400,2,2,1,1,63,0,Freelance,0
C0040,722,100788,873000,22900,374600,0,0,0,1,0,46,0,Salaried,0
C0041,707,39897,216000,4900,60800,0,0,0,0,0,40,0,Business Owner,0
C0042,625,20000,132000,4100,72900,19200,4,5,1,1,51,1,Business Owner,1
C0043,694,55498,268000,6600,93500,0,0,0,0,0,38,0,Self-Employed,0
C0044,782,39248,188000,4400,136800,0,0,0,1,0,25,1,Salaried,0
C0045,608,20000,287000,6400,177600,0,0,0,0,0,77,1,Salaried,0
C0046,700,27725,285000,7500,210700,0,0,1,0,0,46,0,Self-Employed,0
C0047,667,39599,500000,10000,208400,0,0,0,1,0,38,0,Business Owner,0
C0048,660,42771,384000,10100,338600,22200,2,3,2,1,45,1,Salaried,1
C0049,617,68674,946000,21800,286200,49400,2,3,2,1,38,2,Self-Employed,1
C0050,567,33226,356000,9300,60600,27000,3,4,1,0,46,0,Salaried,1
C0051,651,43712,259000,8000,216200,0,0,0,0,0,55,0,Freelance,0
C0052,706,26224,211000,7000,169600,7600,1,3,2,0,62,0,Business Owner,0
C0053,850,68605,418000,9200,341900,0,0,0,0,0,48,0,Freelance,0
C0054,762,62087,340000,6900,88200,0,0,1,0,0,26,1,Business Owner,0
C0055,710,20000,71000,1600,52600,3200,2,3,2,1,53,1,Self-Employed,1
C0056,633,52104,467000,13500,194900,0,0,0,0,0,80,0,Business Owner,0
C0057,719,63978,725000,17500,451100,0,0,0,1,1,48,1,Business Owner,0
C0058,724,84152,952000,31200,332900,0,0,0,2,0,59,0,Self-Employed,0
C0059,715,44062,646000,22100,342000,0,0,0,0,0,19,0,Business Owner,0
C0060,596,92870,1086000,22800,436800,0,0,0,0,0,49,0,Salaried,1
C0061,686,83511,1192000,38100,1130400,124400,3,4,4,1,39,0,Self-Employed,1
C0062,525,26803,299000,7000,272100,0,0,0,0,0,24,2,Self-Employed,1
C0063,693,62706,645000,17900,215800,20300,1,1,1,1,70,0,Self-Employed,1
C0064,635,67269,382000,10700,238500,0,0,0,1,0,50,0,Freelance,0
C0065,665,32887,246000,5900,179300,0,0,0,0,0,5,0,Freelance,0
C0066,785,27836,272000,6500,232000,0,0,0,2,1,63,0,Business Owner,0
C0067,650,32312,385000,8600,309700,0,0,0,0,0,48,0,Self-Employed,0
C0068,731,144585,1787000,38600,1356000,0,0,1,0,0,48,0,Business Owner,0
C0069,650,53493,534000,13500,345400,60900,4,7,0,0,42,2,Salaried,1
C0070,543,40004,599000,15800,306200,43800,3,4,2,1,56,1,Self-Employed,1
C0071,557,34684,514000,13400,444800,14700,1,1,2,1,51,0,Salaried,0
C0072,731,95280,436000,8900,386600,0,0,0,0,0,51,0,Business Owner,0
